date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:32:04	125569/125569	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jun%202026%2020:32:03%20GMT	https://sites.google.com/view/yjianglab	/Users/yyjiang/jianglab/sites.google.com/view/yjianglab.html	(from )
13:32:05	85/85	---MCZ	200	added ('OK')	text/plain	date:Mon,%2022%20Jun%202026%2020:32:04%20GMT	https://sites.google.com/robots.txt		(from )
13:32:05	0/0	---M--	302	error ('Found')	application/binary	date:Mon,%2022%20Jun%202026%2020:32:05%20GMT	https://sites.google.com/view/POST	/Users/yyjiang/jianglab/sites.google.com/view/POST.1.delayed	(from https://sites.google.com/view/yjianglab)
13:32:06	0/0	---M--	302	error ('Found')	application/binary	date:Mon,%2022%20Jun%202026%2020:32:06%20GMT	https://sites.google.com/view/_/ss/	/Users/yyjiang/jianglab/sites.google.com/view/_/ss/index.html	(from https://sites.google.com/view/yjianglab)
13:32:07	125614/125614	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jun%202026%2020:32:06%20GMT	https://sites.google.com/view/yjianglab/research	/Users/yyjiang/jianglab/sites.google.com/view/yjianglab/research.html	(from https://sites.google.com/view/yjianglab)
13:32:08	127470/127470	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jun%202026%2020:32:07%20GMT	https://sites.google.com/view/yjianglab/team	/Users/yyjiang/jianglab/sites.google.com/view/yjianglab/team.html	(from https://sites.google.com/view/yjianglab)
13:32:09	230223/230223	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jun%202026%2020:32:08%20GMT	https://sites.google.com/view/yjianglab/publications	/Users/yyjiang/jianglab/sites.google.com/view/yjianglab/publications.html	(from https://sites.google.com/view/yjianglab)
13:32:10	133964/133964	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jun%202026%2020:32:09%20GMT	https://sites.google.com/view/yjianglab/join-the-lab	/Users/yyjiang/jianglab/sites.google.com/view/yjianglab/join-the-lab.html	(from https://sites.google.com/view/yjianglab)
13:32:10	108062/108062	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Jun%202026%2020:32:10%20GMT	https://sites.google.com/view/yjianglab/POST	/Users/yyjiang/jianglab/sites.google.com/view/yjianglab/POST.6.delayed	(from https://sites.google.com/view/yjianglab/research)
13:32:12	108065/108065	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Jun%202026%2020:32:11%20GMT	https://sites.google.com/view/yjianglab/_/ss/	/Users/yyjiang/jianglab/sites.google.com/view/yjianglab/_/ss/index.html	(from https://sites.google.com/view/yjianglab/research)
